player_id,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,drop_percentage,dropped_passes,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,first_downs_receiving,first_downs_rushing,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_broken_tackles,receiving_touchdowns,receiving_yards,receiving_yards_after_catch,receiving_yards_after_catch_per_reception,receiving_yards_before_catch,receiving_yards_before_catch_per_reception,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_broken_tackle,receptions_per_game,rush_attempts,rush_attempts_per_broken_tackle,rush_attempts_per_game,rush_broken_tackles,rush_touchdowns,rush_yards,rush_yards_after_contact,rush_yards_after_contact_per_attempt,rush_yards_before_contact,rush_yards_before_contact_per_attempt,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception,year,id
BoylTi00,,-11.0,,,,0,,0,1994-10-03,,,0,,,,0.0,,,,,,,,,,,,,,1,0.0,1.0,0.0,,8.0,0.0,6-4,,,,,0,,,,,,,,,0,,,,0,Tim Boyle,,-11.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,13,,1.6,,0,-9,,,,,-0.7,-1.1,0,,,0.0,,2020,,GNB,,,,1,,,13,,,232,-9,11,,,0.0,,,,-0.7,0.0,,2020,BoylTi00 2020
BradHu00,,,,,,1,1,,1994-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,6-3,,,,,,,,,,,,,,,,,,,Hunter Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,0,GNB,,,,,,,,,,241,,,,,,,,,,,,2020,BradHu00 2020
BurgJa01,,,,,,0,0,,1994-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,6-0,,,,,,,,,,,,,,,,,,,James Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,3,GNB,,,,,,,,,,230,,,,,,,,,,,,2020,BurgJa01 2020
BurkOr00,,,,,,1,7,,1995-03-21,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,16.0,0.0,6-3,,,,,,,,,,,,,,,,,,,Oren Burks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,14,GNB,,,,,,,,,,233,,,,,,,,,,0.0,,2020,BurkOr00 2020
ClarKe01,,,,,,6,14,,1995-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,6-3,,,,,,,,,,,,,,,,,,,Kenny Clark,,,,,,,,,,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2020,28,GNB,,,,,,,,,,314,,,,,,,,,,,,2020,ClarKe01 2020
CrosMa20,,,,,,5,0.0,,1984-09-03,,,,,,,,93.7,63,59,100.0,16,16,4,4,,,,5,5,,,,,,16.0,0.0,6-1,,,,,,,,,1.0,1.0,57,,,,,,,,Mason Crosby,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,0.0,,2020,1.0,GNB,5,5,0.0,,,,,1,1,207,,,,,,,,,,,,2020,CrosMa20 2020
DafnDo00,,,,,,0,0,,1997-06-03,,100.0,,,,,,,,,,,,,,,,,,,0,,,,,5.0,2.0,6-3,,,,,,,,,,,,,,,,,13,,Dominique Dafney,,,,,,,,,,,,,,,,,,1,26,,,,,5.2,13.0,2,,0.4,,,,,,,,,,,,,1,,,0.0,,2020,2,GNB,,,2,,,,2,,,235,26,,,,,,,,13.0,,,2020,DafnDo00 2020
DeguJo00,,,,,,0,,,1997-02-14,,50.0,,,,,,,,,,,,,,,,,,,0,,,,,2.0,1.0,6-2,,,,,,,,,,,,,,,,,12,,Josiah Deguara,,,,,,,,,,,,,,,,,,0,12,,,,,6.0,12.0,1,,0.5,,,,,,,,,,,,,0,,,,,2020,,GNB,,,2,,,,1,,,242,12,,,,,,,,12.0,,,2020,DeguJo00 2020
DillAJ00,,,,,,2,,,1998-05-02,,100.0,,,,,,,,,,,,,,,,,,,0,,,,,11.0,0.0,6-0,,,,,,,,,,,,,,,,,16,30,AJ Dillon,,,,,,,,,,,,,,,,,,0,21,,,,,1.9,10.5,2,,0.2,46,,4.2,,2,242,,,,,5.3,22.0,2,,,,,2020,,GNB,,,2,,,,48,,,247,263,,,,,,,,5.5,,,2020,DillAJ00 2020
ErviTy00,,,,,367,1,,,1993-10-07,,73.3,,,,,,,,,,,,,,,,,,,0,,,,,8.0,0.0,5-10,,,,,,0,196,10,,,,,34,,,11,24,21.0,Tyler Ervin,,,,,,,,,,,0,20,5,,,,,0,84,,,,,10.5,7.6,11,,1.4,13.0,,1.6,,0.0,67.0,,,,,5.2,8.4,0,,,,,2020,,GNB,,,15,,,,24,,,185,151,,,,,19.6,,4.0,6.3,,,2020,ErviTy00 2020
ErviTy00,,,,,367,1,,,1993-10-07,,73.3,,,,,,,,,,,,,,,,,,,0,,,,,8.0,0.0,5-10,,,,,,0,196,10,,,,,34,,,11,24,21.0,Tyler Ervin,,,,,,,,,,,0,20,5,,,,,0,84,,,,,10.5,7.6,11,,1.4,13.0,,1.6,,0.0,67.0,,,,,5.2,8.4,0,,,,,2020,,GNB,,,15,,,,24,,,185,151,,,,,19.6,,4.0,6.3,,,2020,ErviTy00 2020
GarvJo00,,,,,,1,3,,1999-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,6-4,,,,,,,,,,,,,,,,,,,Jonathan Garvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,2,GNB,,,,,,,,,,263,,,,,,,,,,,,2020,GarvJo00 2020
GaryRa00,,,,,,3,16,,1997-12-03,,,,,,,,,,,,,,,,,,,,,0,0,1,1,,15.0,4.0,6-5,,,0.0,0.0,,,,,,,,0.0,,,,,,,Rashan Gary,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,2020,19,GNB,,,,,,,,,,277,,,,,,,,,,1,0.0,2020,GaryRa00 2020
GreeRa02,,,,,,1,16,,1995-02-02,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,10.0,0.0,5-11,,,1,0,,,,,,,,17,,,,,,,Raven Greene,,,,5,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0,,,,,0,,,,,,,,,,1.5,,2020,28,GNB,,,0.0,,,,,,,197,,,,,,,,,,0.0,17,2020,GreeRa02 2020
GreeRa02,,,,,,1,16,,1995-02-02,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,10.0,0.0,5-11,,,1,0,,,,,,,,17,,,,,,,Raven Greene,,,,5,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0,,,,,0,,,,,,,,,,1.5,,2020,28,GNB,,,0.0,,,,,,,197,,,,,,,,,,0.0,17,2020,GreeRa02 2020
HarrDa03,,,,,,0,6.0,,1988-11-29,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,7.0,0.0,6-3,,,,,,,,,,,,,,,,,,,Damon Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,3.0,2TM,,,,,,,,,,350,,,,,,,,,,0.0,,2020,HarrDa03 2020
HollKa00,,,,,,1,3.0,,1994-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,6-0,,,0.0,0.0,,,,,,,,0.0,,,,,,,Ka'dar Hollman,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,7.0,GNB,,,,,,,,,,196,,,,,,,,,,,0.0,2020,HollKa00 2020
JackJo01,,,,,13.0,2,5,,1996-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,5.0,6-0,,,0.0,0.0,,,,,,,,0.0,,,,7.0,,,Josh Jackson,,,,2.0,,,,,,rcb,0.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,21,GNB,,,,,,,,,,196,,,,,,,,6.5,,,0.0,2020,JackJo01 2020
JackJo01,,,,,13.0,2,5,,1996-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,5.0,6-0,,,0.0,0.0,,,,,,,,0.0,,,,7.0,,,Josh Jackson,,,,2.0,,,,,,rcb,0.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,21,GNB,,,,,,,,,,196,,,,,,,,6.5,,,0.0,2020,JackJo01 2020
JoneAa00,,,,,,13,,,1994-12-02,,74.6,,,,,,,,,,,,,,,,,,,2,0.0,1.0,0.0,,14.0,14.0,5-9,,,,,,,,,,,,,,,,,30,77,Aaron Jones,,,,,,,,,,RB,,,,,,,,2,355,,,,,25.4,7.6,47,,3.4,201,,14.4,,9,1104,,,,,5.5,78.9,11,,,0.0,,2020,,GNB,,,63,,,,248,,,208,1459,,,,,,,,5.9,0.0,,2020,JoneAa00 2020
KekeKi00,,,,,,5,9,,1996-09-26,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,15.0,9.0,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Kingsley Keke,,,,2.0,,,,,,RDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2020,12,GNB,,,,,,,,,,288,,,,,,,,,,0.0,0.0,2020,KekeKi00 2020
KingKe01,,,,,,4,12,,1995-05-05,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,48.0,,11.0,11.0,6-3,,,0,0,,,,,,,,0,,,,,,,Kevin King,,,,5,,,,,,RCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,45,GNB,,,,,,,,,,200,,,,,,,,,,48.0,0,2020,KingKe01 2020
KirkCh00,,,,,,6,31,,1992-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,6-2,,,2.0,0.0,,,,,,,,10.0,,,,,,,Christian Kirksey,,,,4.0,,,,,,LILB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2020,46,GNB,,,,,,,,,,235,,,,,,,,,,,18.0,2020,KirkCh00 2020
LancTy00,,,,,,2,15,,1994-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,3.0,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Tyler Lancaster,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,8,GNB,,,,,,,,,,313,,,,,,,,,,,0.0,2020,LancTy00 2020
LazaAl00,,,,,,5,,,1995-12-11,,71.7,,,,,,,,,,,,,,,,,,,0,,,,,10.0,9.0,6-5,,,,,,,,,,,,,,,,,72,19.0,Allen Lazard,,,,,,,,,,wr,,,,,,,,3,451,,,,,45.1,13.7,33,,3.3,2.0,,0.2,,0.0,17.0,,,,,8.5,1.7,3,,,,,2020,,GNB,,,46,,,,35,,,227,468,,,,,,,,13.4,,,2020,LazaAl00 2020
LewiMa00,,,,,,1,,,1984-05-19,,58.8,,,,,,,,,,,,,,,,,,,0,,,,,15.0,15.0,6-6,,,,,,,,,,,,,,,,,36,,Marcedes Lewis,,,,,,,,,,TE,,,,,,,,3,107,,,,,7.1,10.7,10,,0.7,,,,,,,,,,,,,3,,,,,2020,,GNB,,,17,,,,10,,,267,107,,,,,,,,10.7,,,2020,LewiMa00 2020
LinsCo00,,,,,,14,,,1991-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,6-3,,,,,,,,,,,,,,,,,,,Corey Linsley,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,,GNB,,,,,,,,,,301,,,,,,,,,,,,2020,LinsCo00 2020
LoveJo02,,,,,11,0,1,,1996-04-25,,,,,,,,,,,,,,,,,,,,,0,,,,,8.0,0.0,6-3,,,,,,0,5,1,,,,,5,,,,,4,John Lovett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0.4,,0,6,,,,,2.0,0.8,0,,,0.0,,2020,3,GNB,,,,,,,3,,,225,6,,,,,5.0,,,2.0,,,2020,LoveJo02 2020
LowrDe00,,,,,,7,22,,1994-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,6-6,,,0,0,,,,,,,,0,,,,,,,Dean Lowry,,,,2,,,,,,LDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2020,14,GNB,,,,,,,,,,296,,,,,,,,,,,0,2020,LowrDe00 2020
MartKa01,,,,,,3,7,,1998-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,6.0,6-3,,,,,,,,,,,,,,,,,,,Kamal Martin,,,,,,,,,,rilb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2020,17,GNB,,,,,,,,,,240,,,,,,,,,,,,2020,MartKa01 2020
NickPa00,,,,,,0,,,1994-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5-10,,,,,,,,,,,,,,,,,,,Parry Nickerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,,GNB,,,,,,,,,,182,,,,,,,,,,,,2020,NickPa00 2020
NickPa00,,,,,,0,,,1994-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5-10,,,,,,,,,,,,,,,,,,,Parry Nickerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,,GNB,,,,,,,,,,182,,,,,,,,,,,,2020,NickPa00 2020
PatrLu00,,,,,0,9,,,1993-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,15.0,6-3,,,,,,,,,,,,,,,,,,,Lucas Patrick,,,,,,,,,,RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,GNB,,,,,,,,,,313,,,,,,,,,,,,2020,PatrLu00 2020
PricBr00,,,,,,0,,,1994-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,6-3,,,,,,,,,,,,,,,,,,,Brian Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,,GNB,,,,,,,,,,322,,,,,,,,,,,,2020,PricBr00 2020
RamsRa00,,,,,,1,6,,1995-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0,6-3,,,,,,,,,,,,,,,,,,,Randy Ramsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,5,GNB,,,,,,,,,,236,,,,,,,,,,,,2020,RamsRa00 2020
RedmWi00,,,,,,1,7,,1993-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,5-11,,,0.0,0.0,,,,,,,,0.0,,,,,,,Will Redmond,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,21,GNB,,,,,,,,,,186,,,,,,,,,,,0.0,2020,RedmWi00 2020
RodgAa00,133.0,8.89,9.6,131.0,,17,,526,1983-12-02,,100.0,372,128.0,,,84.4,,,,,,,,,,,1.0,,,4,0.0,1.0,-13.0,2.0,16.0,16.0,6-2,1.0,124.0,,,5,,,,,,,,,78,,,-6.0,14,Aaron Rodgers,122.0,7.54,139.0,,70.7,9.1,48,4299,8.2,QB,,,,,13-3-0,121.5,,0.0,-6.0,,,,,-0.4,-6.0,1.0,,0.1,38,,2.4,,3,149,,,,,3.9,9.3,3,,122.0,0.0,,2020,,GNB,,,1.0,20,,144.0,39,,,225,143,182,119.0,11.6,268.7,,,,3.7,-13.0,,2020,RodgAa00 2020
RodgAa00,133.0,8.89,9.6,131.0,,17,,526,1983-12-02,,100.0,372,128.0,,,84.4,,,,,,,,,,,1.0,,,4,0.0,1.0,-13.0,2.0,16.0,16.0,6-2,1.0,124.0,,,5,,,,,,,,,78,,,-6.0,14,Aaron Rodgers,122.0,7.54,139.0,,70.7,9.1,48,4299,8.2,QB,,,,,13-3-0,121.5,,0.0,-6.0,,,,,-0.4,-6.0,1.0,,0.1,38,,2.4,,3,149,,,,,3.9,9.3,3,,122.0,0.0,,2020,,GNB,,,1.0,20,,144.0,39,,,225,143,182,119.0,11.6,268.7,,,,3.7,-13.0,,2020,RodgAa00 2020
RushAn00,,,,,,0,4.0,,1996-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,6-5,,,,,,,,,,,,,,,,,,,Anthony Rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,2020,1.0,2TM,,,,,,,,,,350,,,,,,,,,,,,2020,RushAn00 2020
RussKe00,,,,,,0,,,1993-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5-11,,,,,,,,,,,,,,,,,,,KeiVarae Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,,GNB,,,,,,,,,,196,,,,,,,,,,,,2020,RussKe00 2020
SamuSt01,,,,,,0,0,,1999-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,6-2,,,,,,,,,,,,,,,,,,,Stanford Samuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2020,3,GNB,,,,,,,,,,185,,,,,,,,,,,,2020,SamuSt01 2020
SavaDa00,,,,,,6,19,,1997-07-30,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,15.0,15.0,5-11,,,4,0,,,,,,,,9,,,,,,,Darnell Savage Jr.,,,,12,,,,,,FS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2020,56,GNB,,,,,,,,,,198,,,,,,,,,,0,13,2020,SavaDa00 2020
ScotJK00,,,,,,2,,,1995-10-30,1,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0,6-6,,,,,,,,,,,,,,,62,,,,JK Scott,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,GNB,,,,,2092,,,,,208,,,,,,,45.5,,,,,2020,ScotJK00 2020
ScotVe00,,,,,,1,2,,1997-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.0,,,,,,,,,,,,,,,,,,,,Vernon Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2020,11,GNB,,,,,,,,,,,,,,,,,,,,,,2020,ScotVe00 2020
ShepDa00,,,,,279,0,,,1995-11-01,,62.5,,,,,,,,,,,,,,,,,,,1,,,,,8.0,0.0,5-11,,,,,,0,227,11,,,,,30,,,6,19,,Darrius Shepherd,,,,,,,,,,,0,6,1,,,,,0,46,,,,,5.8,9.2,5,,0.6,,,,,,,,,,,,,0,,,,,2020,,GNB,,,8,,,,5,,,186,46,,,,,20.6,,6.0,9.2,,,2020,ShepDa00 2020
SmitPr00,,,,,,7,13,,1992-11-17,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,14.0,,16.0,13.0,6-5,,,0,0,,,,,,,,0,,,,,,,Preston Smith,,,,3,,,,,,LOLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2020,29,GNB,,,,,,,,,,265,,,,,,,,,,14.0,0,2020,SmitPr00 2020
